Year,Series,CO2_Value,Land_Value,Threatened_Species,Water_and_Sanitation_Services
1975,Emissions per capita (metric tons of carbon dioxide),16.295,18,69,77.98
1985,Emissions per capita (metric tons of carbon dioxide),15.242,19,74,78
1995,Emissions per capita (metric tons of carbon dioxide),15.323,20,77,78.8381
2005,Emissions per capita (metric tons of carbon dioxide),16.762,21.5081,118,81.8875
2010,Emissions per capita (metric tons of carbon dioxide),15.545,26.0162,122,81.8
2015,Emissions per capita (metric tons of carbon dioxide),15.619,27,148,81.85
2016,Emissions per capita (metric tons of carbon dioxide),15.179,28,168,81.89
2017,Emissions per capita (metric tons of carbon dioxide),14.992,28.1382,173,82.0678
