Year,Series,CO2_Value,Land_Value,Threatened_Species,Water_and_Sanitation_Services
1995,Emissions per capita (metric tons of carbon dioxide),10.435,21,93,48.361
2005,Emissions per capita (metric tons of carbon dioxide),10.325,22,134,58.5814
2010,Emissions per capita (metric tons of carbon dioxide),10.705,23,136,76.0277
2015,Emissions per capita (metric tons of carbon dioxide),10.649,24.9575,139,63.4078
2016,Emissions per capita (metric tons of carbon dioxide),10.465,25.0919,139,55.2331
2017,Emissions per capita (metric tons of carbon dioxide),10.636,25.124,141,61.3062
