Year,Series,CO2_Value,Land_Value,Threatened_Species,Water_and_Sanitation_Services
1975,Emissions per capita (metric tons of carbon dioxide),1.123,3.9,624,95
1985,Emissions per capita (metric tons of carbon dioxide),1.547,4,773,94.5
1995,Emissions per capita (metric tons of carbon dioxide),2.407,5.1,859,94
2005,Emissions per capita (metric tons of carbon dioxide),4.148,5.9,1079,
2010,Emissions per capita (metric tons of carbon dioxide),5.855,6.3852,1080,93.5
2015,Emissions per capita (metric tons of carbon dioxide),6.637,8.5561,1095,93.0448
2016,Emissions per capita (metric tons of carbon dioxide),6.575,9.5509,1124,92.74
2017,Emissions per capita (metric tons of carbon dioxide),6.678,9.9348,1172,92.3262
